Size;Processes;Time_seconds;;
200;1;0.0044103;;
400;1;0.0418904;;
800;1;0.336926;;
1200;1;1.16594;;
1600;1;5.17736;;
2000;1;7.28256;;
200;1;0.0045253;;
400;1;0.041056;;
800;1;0.337532;;
1200;1;1.14926;;
1600;1;5.57736;;
2000;1;7.30319;;
200;1;0.0051633;;
400;1;0.0426355;;
800;1;0.334692;;
1200;1;1.16257;;
1600;1;5.34117;;
2000;1;7.78753;;
200;2;0.0027246;;
400;2;0.0225848;;
800;2;0.19797;;
1200;2;0.632054;;
1600;2;3.38206;;
2000;2;4.67408;;
200;4;0.001588;;
400;4;0.0125392;;
800;4;0.101421;;
1200;4;0.412534;;
1600;4;2.71408;;
2000;4;3.26716;;
200;8;0.0009607;;
400;8;0.0094379;;
800;8;0.0812794;;
1200;8;0.416215;;
1600;8;1.73903;;
2000;8;2.60726;;
1200;12;0.480288;;
1200;12;0.469149;;
200;12;0.0010168;;
400;12;0.0103644;;
800;12;0.0969727;;
1200;12;0.478081;;
1600;12;1.47442;;
2000;12;2.47264;;
200,12,0.0012631
400,12,0.0114016
800,12,0.0957006
1200,12,0.480802
1600,12,1.51458
2000,12,2.52633
200,4,0.0019766
400,4,0.0230164
800,4,0.115837
1200,4,0.452903
1600,4,2.76739
2000,4,3.35983
200,16,0.0014718
400,16,0.0040817
800,16,0.106477
1200,16,0.490045
1600,16,1.5346
2000,16,2.51714
200,12,0.0004477
400,12,0.0041754
800,12,0.0499277
1200,12,0.294142
1600,12,0.760823
2000,12,1.56806
